group,seed,episode,tau,phi_g
trained,1,8,-269,3.2693273706445147
trained,1,8,-264,3.427964595803461
trained,1,8,-259,1.7212877806722489
trained,1,8,-254,1.8899710686923812
trained,1,8,-249,1.491193616070898
trained,1,8,-244,0.7945892033012127
trained,1,8,-239,0.7606224163312599
trained,1,8,-234,1.589768401795041
trained,1,8,-229,1.5650333232848226
trained,1,8,-224,1.8193735304870002
trained,1,8,-219,2.1986723184241574
trained,1,8,-214,2.163143118146733
trained,1,8,-209,2.066877694556529
trained,1,8,-204,1.6423780126390208
trained,1,8,-199,1.5710615913451982
trained,1,8,-194,0.5660703867628216
trained,1,8,-189,0.5370970495975762
trained,1,8,-184,0.7893222463282841
trained,1,8,-179,1.4461189651523016
trained,1,8,-174,1.4807820606459106
trained,1,8,-169,1.4434258805304143
trained,1,8,-164,1.5327136637142207
trained,1,8,-159,1.6556902889522709
trained,1,8,-154,1.037408450944175
trained,1,8,-149,1.072438903943619
trained,1,8,-144,1.0941478104630624
trained,1,8,-139,1.0097316579441227
trained,1,8,-134,1.086150650811029
trained,1,8,-129,1.0286169265534824
trained,1,8,-124,0.8207217865190022
trained,1,8,-119,0.8795146185135173
trained,1,8,-114,0.9178138812327938
trained,1,8,-109,0.8504452610905737
trained,1,8,-104,0.7976492812786379
trained,1,8,-99,0.934511436173324
trained,1,8,-94,1.0661559954756217
trained,1,8,-89,1.1116694670731266
trained,1,8,-84,1.0244259017269848
trained,1,8,-79,0.8435148071140367
trained,1,8,-74,0.8413869298115185
trained,1,8,-69,0.7077144119028169
trained,1,8,-64,0.7535605479446592
trained,1,8,-59,0.8976359058111146
trained,1,8,-54,1.0508677862704634
trained,1,8,-49,1.4970565099762336
trained,1,8,-44,1.0182564503091167
trained,1,8,-39,1.1104676102446898
trained,1,8,-34,0.9532089767918827
trained,1,8,-29,1.4550014392582789
trained,1,8,-24,0.36679864871038514
trained,1,8,-19,0.416763342609682
trained,1,8,-14,0.7935716798151355
trained,1,8,-9,1.033748820888509
trained,1,8,-4,1.25303304189426
trained,1,8,1,1.2982826126563292
trained,1,8,6,1.3934141959277164
trained,1,8,11,1.3897089513667704
trained,1,8,16,1.4027317642347303
trained,1,8,21,1.42017517420703
trained,1,8,26,1.4178929207652327
trained,1,8,31,1.3328639642469275
trained,1,8,36,1.2076941911662045
trained,1,8,41,1.1120475066786837
trained,1,8,46,1.0141546546035658
trained,1,8,51,1.008607484088984
trained,1,8,56,1.0532860963194022
